A1:1
C1:1
C10:1
C11:1
C12:1
C14:1
C15:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D3:1
D4:1
D6:1
D7:1
D8:1
G***:4
H17:1
H26:1
H29:1
H32:1
J1:1
J18:1
J19:1
J2:1
J20:1
J5:1
J6:1
R1:1
R10:1
R12:1
R16:1
R17:1
R18:1
R2:1
R20:1
R3:1
R4:1
R5:1
R6:1
S1:1
S2:1
U1:1
U2:1
U3:1
U4:1
X3:1
